,Div,Date,HomeTeam,AwayTeam,FTR,HTCD,ATCD,HTGD,ATGD,HTSD,ATSD,HomeRating(ELO) 0.05,AwayRating(ELO) 0.05,HomeRating(ELO) 0.1,AwayRating(ELO) 0.1,HomeRating(ELO) 0.25,AwayRating(ELO) 0.25,HomeRating(ELO) 0.4,AwayRating(ELO) 0.4,HomeRating(ELO) 0.55,AwayRating(ELO) 0.55,HomeRating(ELO) 0.7,AwayRating(ELO) 0.7,HomeRating(ELO) 0.85,AwayRating(ELO) 0.85,HomeRating(ELO) 0.9,AwayRating(ELO) 0.9,Value Diff,Attack Diff,Mid Game Diff,Defense Diff,Over Game Diff,Estadio,Arbitro,Parametro,Yellow Card/Match,Red Card/Match,% HomeWin,% AwayWin,% DrawWin,_merge
36,SP1,21/09/2010,ID012,ID006,H,-0.008,0.048,-0.04054054054054054,0.0,-0.027472527472527472,-0.06593406593406594,0.897625,0.995125,0.791,0.9810000000000002,0.453125,0.890625,0.10400000000000004,0.7439999999999999,-0.23612500000000014,0.5613749999999998,-0.5469999999999999,0.363,-0.8083750000000001,0.1691250000000002,-0.8809999999999999,0.10899999999999999,-8800000,0,4,3,2,Reyno de Navarra,Velasco Carballo,r600012,"6,19","0,48",0.5391705069124424,0.2119815668202765,0.2488479262672811,both
37,SP1,21/09/2010,ID002,ID021,H,0.032,0.112,0.02702702702702703,-0.013513513513513514,0.0989010989010989,0.054945054945054944,1.09975625,1.050125,1.1981000000000002,1.101,1.47265625,1.265625,1.6976,1.464,1.8587562499999999,1.7163750000000002,1.9541,2.043,1.9937562500000003,2.464125,1.9981,2.629,440600000,9,10,11,9,Santiago Bernabéu,Clos Gómez,r600016,"5,34","0,41",0.46511627906976744,0.3209302325581395,0.21395348837209302,both
38,SP1,22/09/2010,ID020,ID024,A,-0.072,0.0,-0.013513513513513514,-0.0945945945945946,-0.02197802197802198,-0.08241758241758242,0.94999375,0.85025,0.8999,0.7020000000000001,0.74609375,0.28125,0.5743999999999999,-0.07200000000000006,0.35849374999999983,-0.31725000000000003,0.059900000000000064,-0.414,-0.3720062500000001,-0.32175,-0.5560999999999998,-0.242,36000000,0,3,1,2,Juegos del Mediterráneo,Turienzo Álvarez,r600015,"5,65","0,35",0.5318181818181819,0.2863636363636364,0.18181818181818182,both
39,SP1,22/09/2010,ID005,ID030,H,0.088,0.0,0.02702702702702703,-0.02702702702702703,0.02197802197802198,0.02197802197802198,1.0524875,0.997375,1.1098,0.989,1.3046875,0.921875,1.5088,0.776,1.6694875,0.5311249999999998,1.7098,0.16700000000000004,1.5284875000000002,-0.33662500000000006,1.3978000000000002,-0.5389999999999999,551300000,11,10,9,9,Nou Camp,Paradas Romero,r600013,"5,85","0,43",0.5697674418604651,0.18604651162790697,0.2441860465116279,both
40,SP1,22/09/2010,ID008,ID003,D,-0.024,-0.048,0.05405405405405406,0.05405405405405406,-0.01098901098901099,-0.016483516483516484,1.1422625000000002,1.04975,1.2682000000000002,1.098,1.5390625,1.21875,1.6432,1.2719999999999998,1.5927625,1.21725,1.4242,1.014,1.1982625,0.6217500000000001,1.1241999999999999,0.44200000000000006,-10400000,-3,-1,-2,0,Mestalla,Iturralde González,r600017,"5,46","0,41",0.4948453608247423,0.2611683848797251,0.24398625429553264,both
41,SP1,22/09/2010,ID033,ID031,D,0.08,0.008,-0.05405405405405406,0.0,0.0,-0.005494505494505495,0.90535625,0.94525,0.8227,0.882,0.66015625,0.65625,0.6352,0.40800000000000003,0.72960625,0.17774999999999985,0.8886999999999999,0.006000000000000116,1.02135625,-0.06674999999999986,1.0387000000000002,-0.06200000000000028,5300000,1,1,1,1,La Romareda,Iglesias Villanueva,r600018,"5,52","0,32",0.4943181818181818,0.23295454545454544,0.2727272727272727,both
42,SP1,22/09/2010,ID033,ID031,D,0.08,0.008,-0.05405405405405406,0.0,0.0,-0.005494505494505495,0.90535625,0.94525,0.8227,0.882,0.66015625,0.65625,0.6352,0.40800000000000003,0.72960625,0.17774999999999985,0.8886999999999999,0.006000000000000116,1.02135625,-0.06674999999999986,1.0387000000000002,-0.06200000000000028,5300000,1,1,1,1,La Romareda,Iglesias Villanueva,r600675,"4,54","0,17",0.45714285714285713,0.3142857142857143,0.22857142857142856,both
43,SP1,23/09/2010,ID010,ID029,A,0.032,-0.136,0.013513513513513514,-0.013513513513513514,-0.04395604395604396,-0.03296703296703297,0.995344671875,0.94536875,0.982529,0.8829,0.905029296875,0.66796875,0.770624,0.4464,0.5598984218749998,0.2526187499999999,0.23506100000000002,0.10890000000000011,-0.2586898281250001,0.02536874999999994,-0.473471,0.010900000000000132,-4650000,7,3,2,2,Coliseum Alfonso Pérez,Estrada Fernández,r600010,"5,54","0,27",0.48333333333333334,0.2625,0.25416666666666665,both
44,SP1,23/09/2010,ID016,ID032,D,0.048,0.032,0.05405405405405406,-0.02702702702702703,0.07142857142857142,0.038461538461538464,1.0923934375000002,0.942875,1.16929,0.873,1.3076171875,0.609375,1.32256,0.31200000000000006,1.2503153125,0.0416249999999998,1.13923,-0.1409999999999999,1.0406884375,-0.17512499999999986,1.01881,-0.14300000000000024,116300000,8,7,3,6,Ramón Sánchez Pizjuán,Ayza Gámez,r600004,"4,79","0,38",0.445859872611465,0.3375796178343949,0.21656050955414013,both
45,SP1,23/09/2010,ID014,ID028,H,-0.096,-0.056,0.05405405405405406,0.0,0.027472527472527472,0.0,1.0425125,1.0018934375000002,1.0702,1.00529,1.0703125,0.9951171875,0.9712,0.9065599999999999,0.8255125,0.6948153124999998,0.7102,0.32723,0.7265125,-0.22581156250000012,0.7822,-0.45719,106900000,5,3,1,3,El Madrigal,Álvarez Izquierdo,r600006,"5,73","0,38",0.536036036036036,0.22972972972972974,0.23423423423423423,both
